
time:2018-12-14 19:10:45, Preset positions:2, ID:1, temperature:20.7
time:2018-12-14 19:10:55, Preset positions:3, ID:1, temperature:17.4
time:2018-12-14 19:11:05, Preset positions:4, ID:1, temperature:17
time:2018-12-14 19:11:35, Preset positions:2, ID:1, temperature:20.1
time:2018-12-14 19:11:45, Preset positions:3, ID:1, temperature:17.1
time:2018-12-14 19:11:55, Preset positions:4, ID:1, temperature:17.1
time:2018-12-14 19:12:25, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 19:12:40, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 19:16:49, Preset positions:2, ID:1, temperature:20.2
time:2018-12-14 19:17:00, Preset positions:3, ID:1, temperature:17.2
time:2018-12-14 19:17:09, Preset positions:4, ID:1, temperature:16.7
time:2018-12-14 19:17:39, Preset positions:2, ID:1, temperature:20.2
time:2018-12-14 19:17:49, Preset positions:3, ID:1, temperature:17.2
time:2018-12-14 19:17:59, Preset positions:4, ID:1, temperature:16.9
time:2018-12-14 19:26:31, Preset positions:2, ID:1, temperature:20.3
time:2018-12-14 19:26:41, Preset positions:3, ID:1, temperature:17.2
time:2018-12-14 19:26:51, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 19:27:21, Preset positions:2, ID:1, temperature:20.2
time:2018-12-14 19:27:31, Preset positions:3, ID:1, temperature:16.9
time:2018-12-14 19:27:42, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 19:28:12, Preset positions:2, ID:1, temperature:20
time:2018-12-14 19:28:21, Preset positions:3, ID:1, temperature:17.2
time:2018-12-14 19:28:32, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 19:29:07, Preset positions:2, ID:1, temperature:20.8
time:2018-12-14 19:29:16, Preset positions:3, ID:1, temperature:16.8
time:2018-12-14 19:29:27, Preset positions:4, ID:1, temperature:16.4
time:2018-12-14 19:29:57, Preset positions:2, ID:1, temperature:20.3
time:2018-12-14 19:30:06, Preset positions:3, ID:1, temperature:17.1
time:2018-12-14 19:30:17, Preset positions:4, ID:1, temperature:16.4
time:2018-12-14 19:30:37, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 19:31:03, Preset positions:2, ID:1, temperature:20.3
time:2018-12-14 19:31:13, Preset positions:3, ID:1, temperature:17
time:2018-12-14 19:31:23, Preset positions:4, ID:1, temperature:16.6
time:2018-12-14 19:31:44, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 19:32:50, Preset positions:2, ID:1, temperature:21
time:2018-12-14 19:33:00, Preset positions:3, ID:1, temperature:17.2
time:2018-12-14 19:33:10, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 19:33:33, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 19:34:28, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 19:34:38, Preset positions:3, ID:1, temperature:17.2
time:2018-12-14 19:34:48, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 19:35:19, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 19:35:31, Preset positions:4, ID:1, temperature:16.7
time:2018-12-14 20:07:08, Preset positions:2, ID:1, temperature:20
time:2018-12-14 20:07:18, Preset positions:3, ID:1, temperature:16.9
time:2018-12-14 20:07:28, Preset positions:4, ID:1, temperature:15.4
time:2018-12-14 20:08:01, Preset positions:3, ID:1, temperature:16.9
time:2018-12-14 20:08:22, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 20:08:31, Preset positions:3, ID:1, temperature:16.7
time:2018-12-14 20:08:39, Preset positions:4, ID:1, temperature:15.4
time:2018-12-14 20:09:08, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 20:09:18, Preset positions:3, ID:1, temperature:17
time:2018-12-14 20:09:29, Preset positions:4, ID:1, temperature:15.4
time:2018-12-14 20:09:53, Preset positions:2, ID:1, temperature:20.1
time:2018-12-14 20:46:23, Preset positions:2, ID:1, temperature:20.7
time:2018-12-14 20:46:33, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 20:46:44, Preset positions:4, ID:1, temperature:16.4
time:2018-12-14 20:46:50, Preset positions:4, ID:1, temperature:16.6
time:2018-12-14 20:46:57, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 20:48:07, Preset positions:2, ID:1, temperature:20.7
time:2018-12-14 20:48:23, Preset positions:4, ID:1, temperature:16.4
time:2018-12-14 20:52:44, Preset positions:2, ID:1, temperature:20.8
time:2018-12-14 20:52:54, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 20:53:04, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 21:57:06, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 21:57:16, Preset positions:3, ID:1, temperature:17.4
time:2018-12-14 21:57:26, Preset positions:4, ID:1, temperature:16.2
time:2018-12-14 21:57:55, Preset positions:2, ID:1, temperature:21.2
time:2018-12-14 22:02:52, Preset positions:2, ID:1, temperature:20.6
time:2018-12-14 22:03:02, Preset positions:3, ID:1, temperature:17.5
time:2018-12-14 22:03:13, Preset positions:4, ID:1, temperature:16.3
time:2018-12-14 22:03:43, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 22:03:57, Preset positions:4, ID:1, temperature:16.3
time:2018-12-14 22:04:28, Preset positions:2, ID:1, temperature:21.4
time:2018-12-14 22:04:37, Preset positions:3, ID:1, temperature:17.4
time:2018-12-14 22:04:48, Preset positions:4, ID:1, temperature:16.1
time:2018-12-14 22:05:18, Preset positions:2, ID:1, temperature:21.3
time:2018-12-14 22:05:28, Preset positions:3, ID:1, temperature:17.3
time:2018-12-14 22:05:38, Preset positions:4, ID:1, temperature:16.1
time:2018-12-14 22:06:08, Preset positions:2, ID:1, temperature:21.4
time:2018-12-14 22:06:18, Preset positions:3, ID:1, temperature:17.3
time:2018-12-14 22:06:28, Preset positions:4, ID:1, temperature:16.4
time:2018-12-14 22:06:59, Preset positions:2, ID:1, temperature:21
time:2018-12-14 22:07:09, Preset positions:3, ID:1, temperature:17.3
time:2018-12-14 22:07:20, Preset positions:4, ID:1, temperature:16.2
time:2018-12-14 22:07:56, Preset positions:3, ID:1, temperature:17.3
time:2018-12-14 22:08:34, Preset positions:2, ID:1, temperature:21.1
time:2018-12-14 22:08:44, Preset positions:3, ID:1, temperature:17.4
time:2018-12-14 22:08:54, Preset positions:4, ID:1, temperature:15.9
time:2018-12-14 22:09:07, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 22:09:56, Preset positions:2, ID:1, temperature:21.5
time:2018-12-14 22:10:06, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 22:10:16, Preset positions:4, ID:1, temperature:16.2
